#
#num reg  count-read  count-written
#
  3 rdi                   16243        7654
  4 rsi                   10919        6406
  5 rbp                   19681        7314
  6 rsp                   64990       41970
  7 rbx                   29800       12176
  8 rdx                   22991       12049
  9 rcx                   32205       17048
 10 rax                   56811       32713
 11 r8                     7993        6014
 12 r9                    10165        7493
 13 r10                    6137        2979
 14 r11                    4301        2159
 15 r12                   14319        8091
 16 r13                    6844        3451
 17 r14                   10908        2610
 18 r15                    5564        3853
# eof
